88134:
 num     #instances         #bytes  class name (module)
 285:             4             96  java.util.stream.StreamShape (java.base@26.0.1)
 286:             4             96  jdk.internal.classfile.impl.AbstractPoolEntry$Utf8EntryImpl$State (java.base@26.0.1)
 287:             4             96  jdk.internal.module.ModuleBootstrap$IllegalFinalFieldMutation (java.base@26.0.1)
 288:             4             96  jdk.internal.util.OperatingSystem (java.base@26.0.1)
 289:             2             96  sun.nio.cs.StreamEncoder (java.base@26.0.1)
 290:             2             96  sun.nio.cs.UTF_8$Encoder (java.base@26.0.1)
 291:             3             96  sun.nio.fs.UnixPath (java.base@26.0.1)
 292:             2             88  [Lsun.security.jca.ProviderConfig; (java.base@26.0.1)
 293:             1             88  jdk.internal.jimage.ImageReader$SharedImageReader (java.base@26.0.1)
 294:             2             80  [F (java.base@26.0.1)
 295:             2             80  [LExperimentConfig$ExperimentSpec;
 296:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@26.0.1)
 297:             1             80  [Ljava.time.temporal.ChronoUnit; (java.base@26.0.1)
 298:             2             80  [Ljava.util.stream.StreamOpFlag$Type; (java.base@26.0.1)
 299:             2             80  java.io.BufferedOutputStream (java.base@26.0.1)
 300:             2             80  java.io.BufferedWriter (java.base@26.0.1)
 301:             2             80  java.io.FileInputStream (java.base@26.0.1)
 302:             2             80  java.io.PrintStream (java.base@26.0.1)
 303:             2             80  java.lang.ModuleLayer (java.base@26.0.1)
 304:             2             80  java.lang.invoke.DirectMethodHandle$Interface (java.base@26.0.1)
 305:             2             80  java.lang.module.Configuration (java.base@26.0.1)
 306:             2             80  java.time.zone.ZoneRules (java.base@26.0.1)
 307:             2             80  java.util.Collections$SingletonMap (java.base@26.0.1)
 308:             5             80  java.util.concurrent.locks.ReentrantLock (java.base@26.0.1)
 309:             1             80  java.util.zip.ZipFile$Source (java.base@26.0.1)
 310:             5             80  jdk.internal.util.Preconditions$4 (java.base@26.0.1)
 311:             1             80  sun.util.cldr.CLDRLocaleProviderAdapter (java.base@26.0.1)
 312:             1             80  sun.util.locale.provider.FallbackLocaleProviderAdapter (java.base@26.0.1)
 313:             3             72  java.lang.NamedPackage (java.base@26.0.1)
 314:             3             72  java.lang.ProcessImpl$LaunchMechanism (java.base@26.0.1)
 315:             3             72  java.lang.WeakPairMap (java.base@26.0.1)
 316:             3             72  java.net.Inet6Address (java.base@26.0.1)
 317:             3             72  java.time.Instant (java.base@26.0.1)
 318:             3             72  java.time.format.ResolverStyle (java.base@26.0.1)
 319:             3             72  java.util.Collections$SetFromMap (java.base@26.0.1)
 320:             3             72  java.util.stream.Collector$Characteristics (java.base@26.0.1)
 321:             3             72  jdk.internal.jimage.ImageReader$Directory (java.base@26.0.1)
 322:             3             72  jdk.internal.misc.Signal (java.base@26.0.1)
 323:             3             72  jdk.internal.module.ModuleBootstrap$IllegalNativeAccess (java.base@26.0.1)
 324:             3             72  jdk.internal.vm.Continuation$Pinned (java.base@26.0.1)
 325:             3             72  sun.security.provider.NativePRNG$Variant (java.base@26.0.1)
 326:             3             64  [Ljava.lang.constant.ConstantDesc; (java.base@26.0.1)
 327:             2             64  [Ljava.nio.charset.CoderResult; (java.base@26.0.1)
 328:             2             64  [Ljava.util.stream.Collector$Characteristics; (java.base@26.0.1)
 329:             1             64  [Ljdk.internal.classfile.impl.StackMapGenerator$Type; (java.base@26.0.1)
 330:             2             64  [Ljdk.internal.util.OperatingSystem; (java.base@26.0.1)
 331:             2             64  java.lang.System$Out (java.base@26.0.1)
 332:             2             64  java.lang.invoke.VarHandleByteArrayAsInts$ArrayHandle (java.base@26.0.1)
 333:             2             64  java.lang.invoke.VarHandleByteArrayAsLongs$ArrayHandle (java.base@26.0.1)
 334:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@26.0.1)
 335:             2             64  java.time.format.DateTimeFormatterBuilder$TextPrinterParser (java.base@26.0.1)
 336:             2             64  java.time.temporal.IsoFields$Unit (java.base@26.0.1)
 337:             2             64  java.util.ArrayList$Itr (java.base@26.0.1)
 338:             2             64  java.util.HexFormat (java.base@26.0.1)
 339:             4             64  java.util.LinkedHashSet (java.base@26.0.1)
 340:             4             64  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@26.0.1)
 341:             1             64  java.util.jar.JarFile (java.base@26.0.1)
 342:             4             64  java.util.regex.Pattern$BitClass (java.base@26.0.1)
 343:             2             64  java.util.stream.FindOps$FindOp (java.base@26.0.1)
 344:             1             64  java.util.zip.Inflater (java.base@26.0.1)
 345:             2             64  jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer (java.base@26.0.1)
 346:             4             64  jdk.internal.module.ServicesCatalog (java.base@26.0.1)
 347:             2             64  sun.security.provider.FileInputStreamPool$StreamRef (java.base@26.0.1)
 348:             1             56  [Ljava.lang.classfile.TypeKind; (java.base@26.0.1)
 349:             1             56  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic; (java.base@26.0.1)
 350:             1             56  [Ljava.nio.file.StandardOpenOption; (java.base@26.0.1)
 351:             1             56  java.lang.invoke.BoundMethodHandle$Specializer (java.base@26.0.1)
 352:             1             56  java.util.Properties (java.base@26.0.1)
 353:             1             56  jdk.internal.classfile.impl.ClassFileImpl (java.base@26.0.1)
 354:             1             56  jdk.internal.classfile.impl.SplitConstantPool (java.base@26.0.1)
 355:             1             48  [Ljava.math.RoundingMode; (java.base@26.0.1)
 356:             2             48  [Ljava.security.ProtectionDomain; (java.base@26.0.1)
 357:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@26.0.1)
 358:             1             48  [Ljdk.internal.classfile.impl.BootstrapMethodEntryImpl; (java.base@26.0.1)
 359:             2             48  java.io.File$PathStatus (java.base@26.0.1)
 360:             2             48  java.io.OutputStreamWriter (java.base@26.0.1)
 361:             1             48  java.lang.NullPointerException (java.base@26.0.1)
 362:             3             48  java.lang.ScopedValue (java.base@26.0.1)
 363:             2             48  java.lang.ThreadLocal$SuppliedThreadLocal (java.base@26.0.1)
 364:             2             48  java.lang.ThreadLocal$ThreadLocalMap (java.base@26.0.1)
 365:             1             48  java.lang.invoke.BoundMethodHandle$Specializer$Factory (java.base@26.0.1)
 366:             1             48  java.lang.invoke.LambdaFormEditor$Transform (java.base@26.0.1)
 367:             1             48  java.lang.invoke.VarHandleReferences$Array (java.base@26.0.1)
 368:             2             48  java.net.Inet4Address (java.base@26.0.1)
 369:             2             48  java.nio.ByteOrder (java.base@26.0.1)
 370:             3             48  java.nio.charset.CodingErrorAction (java.base@26.0.1)
 371:             2             48  java.security.Permissions (java.base@26.0.1)
